"filename", "language", "XML", "C++", "YAML", "JSON", "Dart", "Markdown", "Groovy", "Properties", "Swift", "HTML", "comment", "blank", "total"
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/home/impl/balance_widget.dart", "Dart", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 1, 7, 128
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/lessons/impl/lesson.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/lessons/impl/lessons/unit1_lesson1.dart", "Dart", 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 7, 243
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/lessons/impl/lessons/unit1_lesson2.dart", "Dart", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 7, 153
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/lessons/impl/ui/lesson_button.dart", "Dart", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 7, 100
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/lessons/impl/ui/lesson_sliverappbar.dart", "Dart", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 4, 118
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/lessons/lessons_page.dart", "Dart", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 7, 116
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/log/impl/deposit_tab.dart", "Dart", 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 13, 298
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/log/impl/expend_tab.dart", "Dart", 0, 0, 0, 0, 289, 0, 0, 0, 0, 0, 0, 13, 302
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/log/impl/log_animation.dart", "Dart", 0, 0, 0, 0, 225, 0, 0, 0, 0, 0, 1, 14, 240
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/log/log_page.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 1, 5, 72
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/root/walley_app_bar.dart", "Dart", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 13, 5, 105
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/root/walley_navigation_bar.dart", "Dart", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 8, 55
"/Volumes/Productivity/Programming/Flutter/walley/lib/impl/ui/user/user_page.dart", "Dart", 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 4, 175
"/Volumes/Productivity/Programming/Flutter/walley/lib/main.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"/Volumes/Productivity/Programming/Flutter/walley/lib/root_page.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"/Volumes/Productivity/Programming/Flutter/walley/lib/util/color_util.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Volumes/Productivity/Programming/Flutter/walley/lib/util/finance_util.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Volumes/Productivity/Programming/Flutter/walley/lib/util/firestore_extension.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 20, 8, 86
"/Volumes/Productivity/Programming/Flutter/walley/lib/util/navigation_util.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 4, 24
"/Volumes/Productivity/Programming/Flutter/walley/lib/util/time_util.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Volumes/Productivity/Programming/Flutter/walley/lib/util/user_util.dart", "Dart", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 15, 20, 148
"/Volumes/Productivity/Programming/Flutter/walley/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"/Volumes/Productivity/Programming/Flutter/walley/linux/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Volumes/Productivity/Programming/Flutter/walley/linux/main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Volumes/Productivity/Programming/Flutter/walley/linux/my_application.cc", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"/Volumes/Productivity/Programming/Flutter/walley/linux/my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Volumes/Productivity/Programming/Flutter/walley/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 4, 23
